Song Title,Artist,Album Title,Popularity,Genres,Artist Link,Track ID
M.A.I,Milo j,111,80,argentine trap,https://open.spotify.com/artist/19HM5j0ULGSmEoRcrSe5x3,35ttE4t8lQZA2vuCYDg4G7
Amor Completo,Mon Laferte,Mon Laferte (Vol. 1),77,latin alternative,https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr,00kIWJu9IHiQ6i0qJAU0Z9
Tu Falta De Querer,Mon Laferte,Mon Laferte (Vol. 1),83,latin alternative,https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr,4skuEIloXWuxxgekKupkEH
fantasmas,HUMBE,fantasmas,78,Unknown,https://open.spotify.com/artist/1b7AEdUSudOQoZF5ebUxCL,16OhThzklXn3xI3iNzcIus
La Mitad,Camilo,Por Primera Vez,76,"colombian pop, pop urbano",https://open.spotify.com/artist/28gNT5KBp7IjEOQoevXf9N,63Zaf8Rci6eOUPqDQ4fUFx
Frisky,Dominic Fike,Sunburn,68,Unknown,https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs,3my33XXLpYUzVEeLOyftV2
Mona Lisa,Dominic Fike,Sunburn,70,Unknown,https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs,71DSaeKtXQaMAqnvMT7Uoc
VPPMHDSPPM,Los Gemelos De Sinaloa,VPPMHDSPPM,60,"corrido, corridos bélicos, corridos tumbados, sad sierreño, sierreño, música mexicana",https://open.spotify.com/artist/1Zkxm1dM3HI3QkTmxUEVQA,1p1wnpmPz3oGnZrscI0ayu
Kilby Girl,The Backseat Lovers,When We Were Friends,80,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,1170VohRSx6GwE6QDCHPPH
unknown feelings,Novulent,unknown feelings,69,shoegaze,https://open.spotify.com/artist/2Q0rAyTIfdTUwDt8jpEpv0,4zyHmSSneytuFEdU2TbU7w
Twilight,bôa,Twilight,75,Unknown,https://open.spotify.com/artist/5jTtGLk1mGFMY5lQOvJYUj,6d67Xv8ms2noA8wWFLiPDN
Enough for you,Wisp,Pandora,69,shoegaze,https://open.spotify.com/artist/3TJZG17pjOKXwx1ELKJPfm,1z8nQqjNwNtuj0aoALh7gf
Karma Police,Radiohead,OK Computer,84,"art rock, alternative rock",https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,63OQupATfueTdZMWTxW03A
Helena,My Chemical Romance,Three Cheers for Sweet Revenge,81,"emo, pop punk, emo pop",https://open.spotify.com/artist/7FBcuc1gsnv6Y1nwFtNRCb,5dTHtzHFPyi8TlTtzoz1J9
Cherry Waves,Deftones,Saturday Night Wrist,80,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,70L6nHORQsblY813yNqUR3
Safe In Your Skin,Title Fight,Shed,73,"midwest emo, shoegaze, post-hardcore, melodic hardcore, pop punk, emo",https://open.spotify.com/artist/2CnhqfjUG0qzsru0SMuhrk,1acjIzGS1YUrx6nSuktnqU
Is It Really You?,Loathe,I Let It in and It Took Everything,71,"shoegaze, metalcore",https://open.spotify.com/artist/4G9wSdX0klmoHfjm9i6DLd,4OmlsAT8r4q9vPFBvfYgyZ
Digital Bath,Deftones,White Pony,74,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,2jSJm3Gv6GLxduWLenmjKS
Save the World,We Are Not Friends,Save the World,62,shoegaze,https://open.spotify.com/artist/2nR28y0ZVWt8oBxXi79szg,6wF1rPeGa5a7kyWO80P0AP
Xerces,Deftones,Saturday Night Wrist,71,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,5hxcxipGOjgTzrPOkfsyyS
Mascara,Deftones,Around the Fur,77,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,4cLdpErILMO8Db8pQVAVcZ
Rosemary,Deftones,Koi No Yokan,77,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,4FEr6dIdH6EqLKR0jB560J
My Own Summer (Shove It),Deftones,Around the Fur,81,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,1158ckiB5S4cpsdYHDB9IF
Be Quiet and Drive (Far Away),Deftones,Around the Fur,81,"nu metal, alternative metal, rap metal, shoegaze",https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,4Uiw0Sl9yskBaC6P4DcdVD
